log_id,ingredient_id,shift_id,change date,change type,quantity changed
1,109,388,11/21/2025,Waste,1.48
2,61,519,11/26/2025,Usage,1.12
3,71,997,12/6/2025,Usage,2.3
4,93,71,11/22/2025,Usage,5.0
5,79,446,11/25/2025,Usage,6.29
6,32,699,11/26/2025,Usage,1.25
7,97,574,12/1/2025,Purchase,8.0
8,55,201,11/26/2025,Purchase,1.15
9,57,370,11/11/2025,Usage,0.52
10,18,146,11/23/2025,Usage,0.51
11,48,921,11/28/2025,Usage,4.67
12,2,372,11/18/2025,Usage,0.42
13,81,107,11/26/2025,Usage,7.6
14,88,758,11/20/2025,Waste,10.0
15,56,992,12/8/2025,Usage,0.59
16,26,692,12/9/2025,Usage,0.87
17,104,720,11/17/2025,Usage,10.0
18,73,783,12/2/2025,Usage,1.71
19,64,688,12/8/2025,Usage,3.34
20,76,675,11/28/2025,Usage,4.43
21,85,80,11/27/2025,Usage,4.64
22,84,129,11/18/2025,Waste,6.5
23,51,545,11/22/2025,Usage,2.85
24,64,977,11/24/2025,Usage,3.54
25,40,141,11/12/2025,Usage,1.79
26,2,970,12/4/2025,Usage,1.58
27,88,884,12/8/2025,Usage,2.0
28,111,201,11/25/2025,Purchase,1.72
29,51,320,11/23/2025,Usage,4.55
30,19,151,12/4/2025,Purchase,0.13
31,15,893,12/1/2025,Waste,0.71
32,71,697,11/26/2025,Usage,6.66
33,37,807,11/24/2025,Usage,0.53
34,33,178,11/17/2025,Usage,1.74
35,81,289,12/1/2025,Usage,5.08
36,110,460,11/18/2025,Usage,0.81
37,88,853,11/15/2025,Purchase,9.0
38,100,916,11/28/2025,Usage,9.0
39,73,789,11/12/2025,Usage,3.44
40,77,88,11/18/2025,Purchase,1.26
41,50,172,11/30/2025,Usage,1.03
42,3,322,11/27/2025,Usage,0.75
43,27,686,11/15/2025,Purchase,0.38
44,25,631,11/25/2025,Purchase,0.6
45,78,142,11/26/2025,Usage,0.58
46,43,128,11/28/2025,Waste,0.7
47,31,383,11/30/2025,Usage,1.92
48,17,667,12/6/2025,Usage,0.71
49,96,435,12/7/2025,Usage,1.0
50,89,627,11/22/2025,Purchase,6.0
51,23,618,11/17/2025,Usage,0.42
52,86,452,11/14/2025,Usage,7.8
53,10,291,12/5/2025,Waste,0.06
54,36,963,11/29/2025,Usage,1.61
55,48,99,11/25/2025,Usage,4.17
56,62,710,12/9/2025,Purchase,1.21
57,91,153,11/18/2025,Usage,8.0
58,60,562,11/21/2025,Usage,3.49
59,106,832,12/9/2025,Waste,1.34
60,71,398,11/19/2025,Waste,5.34
61,30,329,12/3/2025,Usage,1.44
62,59,923,11/18/2025,Usage,3.81
63,104,493,11/30/2025,Usage,8.0
64,19,41,12/2/2025,Usage,0.08
65,27,466,11/21/2025,Usage,1.34
66,96,391,11/14/2025,Usage,7.0
67,95,669,11/13/2025,Purchase,4.0
68,59,501,12/5/2025,Purchase,3.88
69,97,272,11/13/2025,Usage,9.0
70,106,442,11/22/2025,Usage,2.44
71,68,510,11/27/2025,Purchase,3.71
72,113,17,11/22/2025,Purchase,2.78
73,81,492,11/26/2025,Usage,2.11
74,115,629,12/10/2025,Usage,1.75
75,18,314,11/28/2025,Waste,0.75
76,31,483,11/24/2025,Usage,1.61
77,93,741,12/5/2025,Usage,2.0
78,41,811,11/23/2025,Usage,1.13
79,52,500,11/21/2025,Usage,3.12
80,17,617,11/20/2025,Waste,0.66
81,2,393,11/12/2025,Usage,0.46
82,65,170,12/6/2025,Usage,3.75
83,108,621,11/22/2025,Usage,4.33
84,22,306,11/26/2025,Purchase,0.19
85,86,900,11/13/2025,Purchase,4.03
86,6,920,11/30/2025,Usage,2.45
87,94,844,11/18/2025,Usage,10.0
88,61,422,11/18/2025,Usage,3.87
89,5,619,11/29/2025,Usage,0.41
90,39,251,12/8/2025,Usage,1.58
91,61,223,11/29/2025,Purchase,3.18
92,6,477,11/27/2025,Usage,1.26
