order_id,customer_id,order_date,order_status,total_amount
1,89,11/29/2025,Ready,7.0
2,24,11/25/2025,Ready,5.0
3,54,12/3/2025,Ready,25.0
4,13,11/25/2025,Ready,8.0
5,28,11/11/2025,Ready,6.0
6,35,12/3/2025,Ready,10.0
7,25,11/21/2025,Ready,8.0
8,5,11/20/2025,Cancelled,6.0
9,38,11/29/2025,Ready,8.0
10,7,11/24/2025,Ready,7.0
11,97,11/28/2025,Ready,14.0
12,93,11/16/2025,Ready,12.0
13,77,11/11/2025,Ready,8.0
14,82,12/9/2025,Ready,8.0
15,86,11/19/2025,Cancelled,29.0
16,55,11/16/2025,Ready,8.0
17,37,11/14/2025,Ready,6.0
18,83,11/22/2025,Ready,4.0
19,1,11/30/2025,Ready,7.0
20,86,11/18/2025,Ready,4.0
21,72,11/26/2025,Ready,33.0
22,1,11/20/2025,Ready,15.0
23,81,11/20/2025,Ready,10.0
24,21,11/30/2025,Ready,4.0
25,40,12/6/2025,Cancelled,25.0
26,60,11/23/2025,Ready,4.0
27,73,12/10/2025,Ready,4.0
28,24,11/27/2025,Cancelled,8.0
29,30,12/8/2025,Ready,28.0
30,98,12/7/2025,Ready,14.0
31,96,11/18/2025,Cancelled,5.0
32,61,12/8/2025,Ready,7.0
33,48,11/20/2025,Ready,16.0
34,58,11/23/2025,Ready,31.0
35,68,12/7/2025,Ready,13.0
36,41,12/7/2025,Cancelled,4.0
37,8,11/17/2025,Ready,5.0
38,57,11/30/2025,Ready,26.0
39,98,11/21/2025,Ready,7.0
40,29,11/17/2025,Ready,13.0
41,98,11/27/2025,Ready,6.0
42,2,11/21/2025,Ready,7.0
43,11,12/5/2025,Ready,4.0
44,39,11/27/2025,Ready,25.0
45,59,11/11/2025,Ready,12.0
46,41,11/29/2025,Cancelled,6.0
47,43,11/13/2025,Ready,7.0
48,66,11/15/2025,Ready,8.0
49,41,11/26/2025,Ready,15.0
50,97,11/21/2025,Ready,8.0
51,80,11/19/2025,Ready,8.0
52,24,11/16/2025,Ready,8.0
53,82,11/21/2025,Ready,7.0
54,100,12/4/2025,Ready,8.0
55,22,11/18/2025,Ready,8.0
56,9,11/16/2025,Cancelled,7.0
57,91,11/11/2025,Ready,4.0
58,90,12/2/2025,Cancelled,28.0
59,41,12/4/2025,Ready,35.0
60,39,12/2/2025,Ready,17.0
61,76,12/6/2025,Ready,4.0
62,61,12/3/2025,Cancelled,15.0
63,26,11/23/2025,Ready,27.0
64,90,11/29/2025,Ready,21.0
65,22,11/15/2025,Ready,15.0
66,72,12/8/2025,Ready,5.0
67,73,12/10/2025,Ready,4.0
68,6,11/23/2025,Ready,11.0
69,73,11/26/2025,Cancelled,5.0
70,39,12/2/2025,Ready,7.0
71,74,11/27/2025,Ready,7.0
72,6,11/17/2025,Cancelled,25.0
73,26,11/22/2025,Ready,11.0
74,64,11/30/2025,Cancelled,8.0
75,25,11/24/2025,Cancelled,8.0
