order_detail_id,order_id,menu_item_id,quantity,unit_price
1,702,8,4,4.85
2,507,92,2,16.61
3,328,70,4,15.37
4,124,80,1,10.78
5,412,55,3,11.78
6,828,11,5,4.75
7,303,11,1,4.54
8,114,30,5,4.15
9,680,28,1,4.67
10,461,31,1,7.36
11,236,22,5,5.32
12,479,57,3,11.84
13,948,66,3,12.32
14,595,24,2,5.35
15,904,87,5,20.84
16,235,58,3,9.01
17,352,96,2,18.95
18,854,3,1,4.99
19,801,3,5,3.55
20,341,56,5,7.63
21,220,52,1,7.7
22,425,16,3,4.18
23,708,70,1,17.49
24,128,70,1,16.2
25,536,36,4,7.92
26,161,74,4,12.68
27,253,65,1,16.88
28,493,62,2,16.28
29,210,95,3,15.77
30,856,25,3,7.71
31,186,91,2,22.95
32,661,38,3,6.95
33,302,83,1,18.03
34,279,74,2,17.54
35,361,99,5,17.1
36,515,90,2,24.83
37,790,51,3,9.55
38,501,67,3,14.91
39,863,92,3,15.28
40,487,9,1,4.2
41,363,75,2,16.68
42,272,55,1,7.72
43,529,29,4,5.4
44,105,53,4,8.33
45,597,18,4,4.48
46,482,34,3,4.73
47,657,7,3,2.95
48,939,100,3,19.58
49,425,77,4,17.65
50,991,37,3,4.07
51,627,44,4,7.46
52,38,35,4,5.81
53,484,50,2,11.03
54,529,26,2,6.8
55,967,16,5,3.41
56,675,88,1,22.99
57,183,60,5,7.48
58,336,30,1,5.01
59,275,16,1,4.8
60,139,97,4,24.37
61,107,7,3,5.01
62,347,47,2,11.82
63,51,69,1,17.06
64,163,84,4,19.3
65,178,96,4,21.02
66,615,95,5,19.04
67,118,40,2,5.9
68,384,43,1,6.38
69,107,49,4,7.39
70,887,61,4,10.63
71,518,58,2,10.43
72,499,36,3,7.03
73,128,77,2,11.57
74,458,18,5,2.57
75,488,81,4,15.07
76,490,7,2,2.8
77,211,7,3,2.93
78,244,12,5,3.78
79,660,62,3,12.18
80,16,83,5,20.87
81,613,98,3,24.26
82,397,26,3,4.98
83,91,12,2,5.04
84,406,62,5,13.11
85,185,95,4,19.82
86,504,71,4,16.31
87,374,25,4,5.39
88,682,11,4,5.35
89,504,83,5,19.12
90,439,48,5,9.74
91,182,16,5,3.69
92,168,70,4,16.2
93,924,1,2,2.75
94,266,99,4,24.83
95,336,45,5,10.74
96,547,54,4,9.0
97,965,17,1,4.33
98,457,83,2,17.31
99,660,16,2,3.21
100,764,40,5,4.59
101,124,64,1,13.01
102,658,71,5,11.43
103,845,45,1,9.89
104,30,31,3,4.44
105,657,33,3,7.55
106,165,58,2,10.32
107,401,65,3,13.39
108,970,67,4,15.66
109,745,99,4,19.44
110,236,13,1,3.95
111,268,62,4,10.64
112,72,95,3,23.57
113,855,57,4,6.17
114,697,14,4,3.11
115,583,8,2,3.67
116,376,5,2,5.42
117,608,75,1,10.52
118,678,18,5,4.97
119,881,100,1,21.2
120,322,37,1,7.74
121,334,19,1,2.96
122,17,44,1,10.24
123,646,26,1,4.37
124,873,44,1,10.59
125,218,32,4,5.75
126,210,65,5,17.24
127,616,14,4,4.31
128,589,68,2,16.9
129,365,38,3,4.4
130,337,29,2,5.48
131,829,37,4,6.71
132,569,56,1,10.64
133,855,39,2,7.31
134,632,56,1,9.4
135,519,67,5,14.16
136,751,76,2,11.77
137,256,78,4,11.37
