supplier_id,ingredient_id,last_unit_price,is_preferred
1,1,2.45,yes
2,2,2.1,yes
3,3,1.17,no
4,4,2.47,no
5,5,1.73,yes
6,6,1.01,yes
7,7,1.3,no
8,8,2.24,yes
9,9,1.71,no
10,10,2.47,yes
11,11,2.92,yes
12,12,1.6,yes
13,13,1.42,no
14,14,1.8,yes
15,15,2.19,yes
16,16,2.16,yes
17,17,2.72,yes
18,18,1.97,yes
19,19,1.24,no
20,20,1.54,yes
21,21,2.59,yes
22,22,2.33,yes
23,23,2.56,no
24,24,2.76,no
25,25,3.93,no
26,26,2.2,no
27,27,1.82,yes
28,28,1.21,yes
29,29,4.26,yes
30,30,1.03,yes
31,31,1.51,no
32,32,1.29,yes
33,33,1.8,no
34,34,4.32,yes
35,35,2.36,no
36,36,4.36,yes
37,37,1.91,yes
38,38,2.03,yes
39,39,1.03,no
40,40,1.62,yes
41,41,10.44,yes
42,42,7.48,yes
43,43,7.63,yes
44,44,6.04,yes
45,45,9.93,yes
46,46,8.17,yes
47,47,9.32,yes
48,48,7.16,yes
49,49,6.96,no
50,50,8.57,no
51,51,10.76,yes
1,52,7.71,yes
2,53,6.26,yes
3,54,10.55,yes
4,55,11.0,yes
5,56,11.81,yes
6,57,10.62,yes
7,58,6.36,yes
8,59,10.57,yes
9,60,6.21,yes
10,61,10.69,yes
11,62,11.57,no
12,63,12.1,yes
13,64,10.28,yes
14,65,7.94,yes
15,66,8.51,yes
16,67,14.01,no
17,68,8.61,yes
18,69,7.28,yes
19,70,7.34,yes
20,71,12.5,yes
21,72,6.76,no
22,73,12.49,yes
23,74,10.29,yes
24,75,6.47,no
25,76,14.43,yes
26,77,7.71,yes
27,78,6.66,yes
28,79,12.89,yes
29,80,6.73,yes
30,81,4.84,no
31,82,7.58,yes
32,83,4.19,yes
33,84,4.56,yes
34,85,3.6,no
35,86,4.14,no
36,87,6.27,yes
37,88,4.86,yes
38,89,7.99,yes
39,90,2.73,yes
40,91,5.39,yes
41,92,6.91,no
42,93,2.78,yes
43,94,5.05,yes
44,95,5.68,no
45,96,5.9,yes
46,97,2.09,yes
47,98,5.23,yes
48,99,6.2,yes
49,100,3.0,yes
50,101,1.6,no
51,102,1.89,yes
1,103,2.07,yes
2,104,18.28,yes
3,105,17.26,yes
4,106,5.26,yes
5,107,7.17,yes
6,108,1.93,yes
7,109,9.03,no
8,110,10.19,yes
9,111,14.59,yes
10,112,17.02,no
11,113,6.89,yes
12,114,2.24,yes
13,115,16.61,yes
14,116,7.9,no
15,1,1.84,yes
16,2,2.74,yes
17,3,2.33,yes
18,4,1.53,yes
19,5,2.96,yes
20,6,2.32,yes
21,7,1.46,yes
22,8,1.92,no
23,9,1.05,yes
24,10,2.49,yes
25,11,1.26,yes
26,12,2.56,yes
27,13,1.63,yes
28,14,2.34,no
29,15,1.95,yes
30,16,2.02,yes
31,17,2.9,yes
32,18,1.71,yes
33,19,2.45,yes
34,20,1.83,yes
35,21,4.45,yes
36,22,3.49,yes
37,23,2.96,yes
38,24,4.11,yes
39,25,1.6,yes
40,26,3.84,yes
41,27,1.51,no
42,28,2.78,yes
43,29,2.73,yes
44,30,2.65,yes
45,31,4.51,no
46,32,4.01,yes
47,33,4.44,yes
48,34,3.79,yes
49,35,4.07,yes
50,36,4.91,yes
51,37,2.84,yes
1,38,4.51,yes
2,39,1.63,yes
3,40,1.52,yes
4,41,11.72,no
5,42,10.65,yes
6,43,5.42,yes
7,44,10.88,no
8,45,11.67,yes
9,46,11.47,no
10,47,10.73,yes
11,48,8.96,yes
12,49,7.9,no
13,50,11.82,yes
14,51,11.14,yes
15,52,8.64,no
16,53,8.3,no
17,54,5.35,no
18,55,8.72,no
19,56,11.93,yes
20,57,8.74,yes
21,58,11.78,yes
22,59,9.37,no
23,60,6.95,no
24,61,9.65,yes
25,62,10.48,yes
26,63,8.14,yes
27,64,13.86,yes
28,65,11.45,no
29,66,11.01,yes
30,67,11.67,no
31,68,11.8,yes
32,69,12.1,yes
33,70,11.06,yes
34,71,6.06,yes
35,72,10.24,yes
36,73,14.82,yes
37,74,11.88,yes
38,75,7.98,yes
39,76,12.24,no
40,77,9.95,yes
41,78,14.39,yes
42,79,8.87,yes
43,80,12.57,no
44,81,7.13,yes
45,82,2.46,yes
46,83,4.45,no
47,84,3.06,no
48,85,7.89,yes
49,86,3.08,yes
50,87,5.62,yes
51,88,2.38,no
1,89,2.64,no
2,90,2.69,yes
3,91,4.43,no
4,92,7.11,no
5,93,7.64,yes
6,94,4.91,no
7,95,7.66,no
8,96,6.02,no
9,97,3.1,yes
10,98,4.23,no
11,99,4.68,yes
12,100,5.65,no
13,101,3.8,yes
14,102,16.31,yes
15,103,1.92,yes
16,104,6.13,no
17,105,10.61,yes
18,106,18.15,yes
19,107,3.64,yes
20,108,12.0,no
21,109,18.57,yes
22,110,2.93,no
23,111,3.2,yes
24,112,1.71,no
25,113,17.17,no
26,114,7.38,yes
27,115,7.24,yes
28,116,6.33,yes
29,1,1.83,no
30,2,2.66,yes
31,3,1.86,yes
32,4,1.24,yes
33,5,1.45,no
34,6,1.01,yes
35,7,2.72,yes
36,8,1.0,yes
37,9,1.91,yes
38,10,2.63,yes
39,11,2.01,yes
40,12,1.26,no
41,13,2.16,no
42,14,2.22,yes
43,15,1.41,yes
44,16,2.27,yes
45,17,1.01,yes
46,18,2.27,yes
47,19,1.53,yes
48,20,2.26,yes
49,21,1.2,no
50,22,3.04,yes
51,23,4.93,no
1,24,1.85,no
2,25,1.81,no
3,26,4.23,yes
4,27,4.63,no
5,28,4.76,yes
6,29,4.05,yes
7,30,2.78,no
8,31,2.0,no
9,32,4.1,yes
10,33,2.51,yes
11,34,2.15,yes
12,35,2.06,yes
13,36,2.69,yes
14,37,3.57,no
15,38,3.89,yes
16,39,2.38,yes
17,40,4.91,yes
18,41,8.71,no
19,42,8.26,yes
20,43,9.85,yes
21,44,7.22,yes
22,45,11.54,yes
23,46,6.37,yes
24,47,11.09,yes
25,48,8.03,no
26,49,5.94,no
27,50,8.64,yes
28,51,6.92,yes
29,52,7.49,no
30,53,8.57,no
31,54,6.46,no
32,55,9.02,yes
33,56,10.66,no
34,57,5.79,yes
35,58,9.86,yes
36,59,10.57,yes
37,60,8.25,yes
38,61,6.86,yes
39,62,14.15,yes
40,63,13.79,no
41,64,12.92,yes
42,65,8.49,no
43,66,6.03,no
44,67,6.68,no
45,68,6.03,yes
46,69,12.41,yes
47,70,12.0,no
48,71,14.97,yes
49,72,12.2,no
50,73,10.48,yes
51,74,13.7,yes
1,75,8.72,yes
2,76,12.98,no
3,77,8.66,yes
4,78,10.51,yes
5,79,13.73,yes
6,80,9.96,yes
7,81,3.98,yes
8,82,6.81,yes
9,83,6.44,yes
10,84,3.72,yes
11,85,5.86,no
12,86,6.92,no
13,87,3.13,yes
14,88,3.67,yes
15,89,6.49,no
16,90,3.47,no
17,91,4.77,no
18,92,5.84,yes
19,93,5.6,yes
20,94,6.18,no
21,95,2.66,no
22,96,3.02,yes
23,97,7.1,no
24,98,4.13,no
25,99,5.8,yes
26,100,2.6,yes
27,101,17.31,yes
28,102,10.61,no
29,103,11.79,no
30,104,14.07,no
31,105,3.04,yes
32,106,6.11,no
33,107,2.4,yes
34,108,5.41,no
35,109,18.87,yes
