menu_item_id,ingredient_id,quantity_required
1,18,0.156
1,8,0.249
1,11,0.296
2,7,0.316
2,17,0.154
2,6,0.327
3,5,0.189
3,20,0.348
3,14,0.306
4,7,0.16
4,20,0.276
4,3,0.241
5,1,0.247
5,7,0.323
5,5,0.297
6,18,0.218
6,2,0.327
6,7,0.349
7,11,0.311
7,5,0.316
7,19,0.296
8,5,0.19
8,2,0.344
8,11,0.162
9,19,0.346
9,2,0.286
9,18,0.21
10,11,0.286
10,15,0.305
10,20,0.282
11,4,0.193
11,6,0.328
11,13,0.215
12,14,0.314
12,9,0.185
12,11,0.213
13,14,0.316
13,8,0.225
13,14,0.164
14,13,0.153
14,2,0.181
14,9,0.171
15,1,0.167
15,18,0.292
15,4,0.18
16,23,0.173
16,21,0.276
17,29,0.334
17,23,0.205
18,29,0.255
18,25,0.207
19,22,0.157
19,22,0.219
20,22,0.223
20,24,0.173
21,27,0.2
21,24,0.166
22,25,0.294
22,27,0.27
23,24,0.318
23,22,0.17
24,22,0.259
24,21,0.281
25,23,0.234
25,22,0.17
26,23,0.151
26,22,0.216
27,29,0.236
27,24,0.161
28,2,0.272
28,5,0.188
28,21,0.155
29,33,0.17
29,6,0.228
29,8,0.275
30,22,0.327
30,17,0.246
30,31,0.205
31,3,0.294
31,3,0.23
31,36,0.236
32,18,0.288
32,31,0.286
32,3,0.33
33,29,0.302
33,32,0.291
33,22,0.233
34,14,0.32
34,21,0.293
34,22,0.202
35,16,0.194
35,17,0.185
35,19,0.318
36,23,0.326
36,19,0.262
36,15,0.292
37,33,0.339
37,24,0.327
37,32,0.314
38,35,0.333
38,29,0.165
38,16,0.183
39,12,0.155
39,31,0.307
39,7,0.288
40,46,0.094
40,51,0.112
40,53,0.118
40,37,0.138
40,56,0.163
41,54,0.087
41,44,0.078
41,51,0.117
41,39,0.117
41,52,0.062
42,41,0.091
42,50,0.085
42,37,0.051
42,49,0.066
42,56,0.056
43,39,0.085
43,47,0.127
43,41,0.165
43,55,0.193
43,55,0.177
44,44,0.086
44,44,0.171
44,39,0.13
44,48,0.099
44,40,0.12
45,56,0.153
45,40,0.103
45,52,0.069
45,42,0.112
45,53,0.05
46,53,0.085
46,37,0.154
46,46,0.151
46,53,0.103
46,46,0.07
47,42,0.108
47,54,0.143
47,45,0.134
47,42,0.163
47,50,0.191
48,47,0.164
48,42,0.151
48,55,0.139
48,55,0.116
48,42,0.062
49,40,0.081
49,46,0.064
49,55,0.163
49,49,0.17
49,51,0.067
50,55,0.113
50,41,0.161
50,53,0.092
50,41,0.117
50,52,0.091
51,42,0.053
51,53,0.188
51,44,0.155
51,48,0.133
51,53,0.109
52,70,0.09
52,62,0.066
52,59,0.129
53,75,0.116
53,61,0.142
53,62,0.146
54,58,0.055
54,57,0.142
54,63,0.105
55,60,0.027
55,74,0.057
55,67,0.049
56,63,0.133
56,63,0.082
56,66,0.052
57,76,0.086
57,60,0.07
57,71,0.104
58,69,0.076
58,57,0.1
58,68,0.054
59,58,0.037
59,63,0.045
59,57,0.138
60,68,0.061
60,57,0.041
60,72,0.041
61,59,0.027
61,66,0.144
61,60,0.075
62,82,0.195
62,78,0.034
62,57,0.081
62,69,0.051
63,61,0.136
63,76,0.1
63,59,0.15
63,70,0.075
64,59,0.109
64,60,0.126
64,72,0.169
64,74,0.109
65,80,0.091
65,69,0.123
65,73,0.174
65,65,0.186
66,65,0.14
66,79,0.036
66,79,0.155
66,62,0.152
67,70,0.052
67,65,0.063
67,58,0.068
67,72,0.044
68,71,0.081
68,66,0.152
68,77,0.085
68,76,0.086
69,78,0.189
69,81,0.104
69,81,0.149
69,77,0.139
70,60,0.144
70,66,0.14
70,68,0.137
70,76,0.099
71,69,0.167
71,61,0.141
71,57,0.12
71,73,0.113
72,84,0.176
72,99,0.053
72,69,0.159
72,66,0.089
72,59,0.11
73,57,0.218
73,75,0.217
73,58,0.092
73,61,0.1
73,64,0.084
74,77,0.128
74,88,0.217
74,101,0.248
74,98,0.181
74,98,0.237
75,62,0.197
75,94,0.236
75,98,0.123
75,60,0.193
75,91,0.124
76,78,0.054
76,85,0.098
76,90,0.134
76,97,0.058
76,98,0.124
77,96,0.247
77,89,0.086
77,79,0.155
77,67,0.088
77,78,0.126
78,67,0.116
78,67,0.052
78,87,0.21
78,58,0.2
78,90,0.176
79,67,0.121
79,89,0.244
79,84,0.183
79,81,0.093
79,66,0.077
80,98,0.188
80,84,0.216
80,87,0.078
80,87,0.13
80,63,0.153
81,100,0.211
81,69,0.067
81,86,0.124
81,61,0.085
81,84,0.184
82,91,0.225
82,94,0.167
82,85,0.229
82,94,0.251
82,90,0.163
82,97,0.082
83,91,0.203
83,94,0.202
83,101,0.103
83,98,0.185
83,89,0.255
83,95,0.233
84,98,0.274
84,92,0.111
84,89,0.078
84,91,0.085
84,98,0.101
84,102,0.25
85,92,0.198
85,101,0.268
85,95,0.189
85,92,0.243
85,89,0.05
85,101,0.156
86,93,0.179
86,87,0.163
86,102,0.238
86,99,0.124
86,89,0.132
86,95,0.206
87,90,0.066
87,102,0.163
87,99,0.085
87,91,0.272
87,95,0.239
87,86,0.252
88,93,0.166
88,88,0.252
88,93,0.291
88,97,0.216
88,97,0.247
88,86,0.075
89,94,0.089
89,87,0.159
89,102,0.198
89,101,0.121
89,92,0.209
89,91,0.087
90,93,0.184
90,100,0.168
90,101,0.068
90,96,0.057
90,93,0.089
90,94,0.292
91,115,0.136
91,114,0.116
91,116,0.132
91,109,0.116
91,109,0.109
92,107,0.073
92,109,0.126
92,108,0.114
92,112,0.035
92,111,0.08
93,113,0.075
93,116,0.063
93,115,0.124
93,108,0.121
93,103,0.085
94,109,0.082
94,110,0.083
94,109,0.117
94,111,0.08
94,109,0.093
95,107,0.13
95,108,0.059
95,114,0.147
95,104,0.03
95,114,0.103
96,113,0.047
96,112,0.118
96,105,0.14
96,105,0.06
96,107,0.056
97,110,0.102
97,103,0.11
97,106,0.056
97,115,0.041
97,115,0.043
98,113,0.09
98,113,0.132
98,116,0.051
98,106,0.07
98,111,0.082
99,107,0.063
99,111,0.142
99,115,0.147
99,114,0.121
99,115,0.048
100,116,0.089
100,105,0.091
100,111,0.08
100,104,0.051
100,112,0.067
