payment_id,order_id,payment_method
1,386,Card
2,118,Online
3,285,Cash
4,775,Card
5,671,Cash
6,524,Online
7,323,Card
8,968,Online
9,576,Card
10,891,Cash
11,243,Card
12,13,Card
13,263,Card
14,621,Online
15,549,Online
16,470,Online
17,924,Cash
18,261,Card
19,584,Online
20,365,Card
21,817,Cash
22,201,Cash
23,925,Card
24,14,Cash
25,168,Card
26,424,Online
27,374,Cash
28,692,Cash
29,463,Card
30,301,Cash
31,941,Online
32,281,Card
33,986,Online
34,183,Online
35,138,Cash
36,548,Online
37,865,Online
38,281,Card
39,238,Online
40,658,Online
41,103,Online
42,258,Card
43,890,Online
44,207,Card
45,530,Online
46,442,Cash
47,9,Cash
48,715,Online
49,773,Card
50,418,Cash
51,649,Card
52,837,Card
53,752,Online
54,383,Online
55,832,Online
56,351,Cash
57,728,Online
58,248,Cash
59,100,Online
60,471,Card
61,581,Online
62,196,Card
63,442,Card
64,745,Cash
65,427,Card
66,674,Card
67,150,Card
68,616,Card
69,89,Cash
70,799,Cash
71,732,Online
72,148,Cash
73,792,Online
74,909,Cash
75,257,Card
76,400,Card
77,401,Cash
78,929,Online
79,330,Card
80,598,Card
81,439,Cash
82,364,Online
83,857,Online
84,841,Cash
85,807,Card
86,511,Cash
87,258,Card
88,883,Online
89,848,Cash
90,38,Online
91,212,Cash
92,268,Online
93,26,Online
94,893,Card
95,28,Online
96,118,Card
97,848,Cash
98,299,Cash
99,449,Card
100,610,Card
101,640,Online
102,712,Cash
103,687,Card
104,870,Card
105,720,Cash
106,682,Online
107,143,Cash
108,903,Online
109,427,Cash
110,368,Online
111,673,Cash
112,9,Cash
113,326,Card
114,465,Online
115,948,Cash
116,376,Cash
117,324,Cash
118,64,Online
119,158,Card
120,563,Cash
121,972,Online
122,769,Cash
123,125,Online
124,868,Online
125,226,Online
126,155,Cash
127,76,Cash
128,420,Card
129,897,Online
130,394,Online
131,29,Card
132,572,Card
133,706,Cash
134,564,Cash
135,752,Cash
136,844,Online
137,738,Online
138,587,Card
139,104,Cash
140,703,Cash
141,920,Cash
142,532,Cash
143,220,Online
144,586,Cash
145,40,Cash
146,821,Online
147,56,Cash
148,210,Cash
149,736,Card
150,193,Cash
151,300,Cash
152,460,Cash
153,597,Cash
154,732,Cash
155,915,Cash
156,839,Online
157,35,Online
158,760,Card
159,632,Cash
160,548,Online
161,581,Online
162,51,Cash
163,168,Card
164,509,Card
165,130,Cash
166,298,Online
167,341,Online
168,149,Cash
169,206,Cash
170,271,Cash
171,603,Cash
172,77,Cash
173,614,Cash
174,115,Card
175,718,Card
176,272,Cash
177,731,Cash
178,603,Cash
179,492,Card
180,599,Card
181,667,Card
182,735,Online
183,40,Card
184,850,Card
185,79,Online
186,880,Card
187,786,Online
188,637,Online
189,875,Online
190,589,Cash
191,873,Card
192,337,Card
193,803,Cash
194,124,Cash
195,932,Online
196,359,Cash
197,467,Online
198,948,Cash
199,530,Online
200,799,Cash
201,970,Card
202,898,Online
203,519,Online
204,869,Online
205,151,Card
206,479,Card
207,583,Online
208,25,Cash
209,472,Cash
210,426,Cash
211,121,Cash
212,885,Online
213,206,Card
214,537,Cash
215,573,Online
216,796,Cash
217,780,Card
218,617,Online
219,650,Card
220,712,Cash
221,137,Online
222,139,Online
223,60,Cash
224,403,Cash
225,701,Card
226,711,Cash
227,751,Card
228,58,Card
229,673,Online
230,38,Online
231,378,Cash
232,302,Online
233,668,Card
234,91,Card
235,730,Online
236,770,Card
237,729,Online
238,79,Cash
239,172,Cash
240,936,Card
241,248,Cash
242,555,Card
243,414,Cash
244,316,Cash
245,172,Card
246,613,Cash
247,481,Online
248,11,Card
249,194,Card
250,396,Online
251,8,Online
252,581,Card
253,678,Online
254,426,Online
255,475,Online
256,140,Card
257,897,Cash
258,564,Card
259,502,Online
260,340,Online
261,245,Cash
262,11,Online
263,436,Cash
264,908,Online
265,864,Card
266,552,Cash
267,388,Cash
268,457,Card
269,304,Cash
270,256,Online
271,679,Card
272,493,Card
273,59,Cash
274,245,Online
275,285,Online
276,980,Card
277,767,Card
278,496,Online
279,753,Online
280,723,Online
281,573,Online
282,672,Card
283,163,Online
284,800,Card
285,523,Cash
286,129,Cash
287,590,Online
288,892,Online
289,849,Online
290,987,Cash
291,325,Online
292,421,Card
293,845,Online
294,132,Online
295,276,Card
296,923,Online
297,450,Online
298,938,Online
299,128,Cash
300,922,Online
301,125,Cash
302,556,Online
303,530,Cash
304,857,Cash
305,111,Cash
306,560,Online
307,209,Card
308,725,Online
309,845,Online
310,735,Online
311,467,Card
312,849,Cash
313,534,Cash
314,730,Online
315,983,Card
316,629,Online
317,51,Online
318,210,Card
319,235,Online
320,317,Cash
321,947,Cash
322,95,Card
323,430,Online
324,84,Cash
325,430,Cash
326,826,Card
327,614,Online
328,395,Cash
329,549,Cash
330,184,Card
331,272,Online
332,879,Online
333,9,Online
334,577,Online
335,398,Cash
336,986,Card
337,944,Cash
338,494,Cash
339,590,Card
340,1,Card
341,868,Online
342,776,Online
343,394,Cash
344,545,Card
345,633,Cash
346,515,Card
347,988,Cash
348,133,Online
349,88,Online
350,568,Online
351,407,Card
352,905,Online
353,522,Online
354,642,Online
355,674,Card
356,279,Card
357,382,Online
358,27,Online
359,26,Cash
360,765,Cash
361,169,Cash
362,498,Online
363,263,Online
364,476,Card
365,980,Card
366,4,Online
367,916,Online
368,649,Card
369,604,Cash
370,767,Card
371,635,Cash
372,98,Cash
373,522,Card
374,544,Online
375,963,Card
376,710,Card
377,241,Online
378,755,Online
379,348,Online
380,402,Card
381,657,Online
382,481,Online
383,475,Cash
384,815,Card
385,726,Online
386,117,Card
387,88,Online
388,39,Online
389,565,Cash
390,487,Cash
391,830,Cash
392,506,Card
393,205,Card
394,754,Cash
395,865,Online
396,978,Cash
397,463,Online
398,488,Card
399,512,Card
400,484,Cash
401,327,Online
402,342,Online
403,941,Card
404,8,Cash
405,676,Card
406,513,Online
407,212,Cash
408,283,Cash
409,373,Cash
410,157,Online
411,227,Card
412,597,Cash
413,652,Cash
414,27,Online
415,927,Online
416,955,Card
417,72,Online
418,148,Online
419,537,Cash
420,416,Card
421,502,Online
422,196,Card
423,521,Online
424,36,Online
425,290,Card
426,237,Card
427,956,Card
428,857,Online
429,153,Cash
430,288,Cash
431,556,Cash
432,570,Online
433,310,Card
434,452,Online
435,396,Cash
436,6,Online
437,227,Cash
438,843,Card
439,327,Cash
440,490,Cash
441,79,Online
442,304,Card
443,847,Online
444,614,Online
445,547,Card
446,215,Online
447,671,Online
448,867,Online
449,396,Card
450,793,Card
451,340,Online
452,117,Cash
453,664,Online
454,508,Cash
455,331,Cash
456,517,Online
457,246,Online
458,480,Card
459,512,Cash
460,128,Online
461,66,Card
462,751,Cash
463,453,Card
464,134,Cash
465,108,Online
466,574,Card
467,659,Cash
468,282,Online
469,463,Card
470,145,Cash
471,208,Online
472,443,Card
473,661,Cash
474,174,Card
475,677,Card
476,382,Card
477,191,Online
478,865,Card
479,791,Card
480,12,Card
481,947,Cash
482,527,Card
483,281,Cash
484,636,Card
485,452,Card
486,491,Card
487,802,Cash
488,69,Online
489,661,Cash
490,939,Cash
491,594,Card
492,357,Card
493,924,Online
494,642,Card
495,132,Card
496,879,Card
497,836,Online
498,403,Cash
499,172,Cash
500,938,Online
501,432,Online
502,491,Cash
503,399,Card
504,60,Card
505,785,Card
506,921,Online
507,95,Card
508,458,Online
509,923,Card
510,110,Card
511,908,Card
512,877,Online
513,696,Cash
514,145,Online
515,149,Online
516,917,Card
517,252,Online
518,439,Card
519,197,Cash
520,791,Online
521,599,Online
522,305,Card
523,866,Cash
524,5,Online
525,848,Online
526,119,Online
527,953,Card
528,255,Online
529,71,Online
530,398,Online
531,888,Online
532,634,Online
533,488,Card
534,801,Online
535,237,Card
536,240,Card
537,469,Card
538,149,Cash
539,660,Online
540,917,Online
541,19,Cash
542,592,Cash
543,630,Cash
544,441,Card
545,812,Card
546,271,Cash
547,990,Cash
548,916,Cash
549,88,Card
550,117,Card
551,904,Cash
552,439,Online
553,26,Cash
554,955,Cash
555,359,Card
556,215,Online
557,74,Card
558,682,Online
559,548,Online
560,965,Online
561,412,Card
562,658,Cash
563,28,Online
564,466,Card
565,836,Card
566,858,Card
567,444,Online
568,456,Card
569,157,Cash
570,17,Card
571,184,Online
572,314,Online
573,804,Online
574,195,Online
575,828,Cash
576,433,Online
577,569,Card
578,198,Card
579,407,Online
580,999,Online
581,902,Cash
582,80,Online
583,644,Card
584,735,Cash
585,198,Card
586,457,Cash
587,321,Online
588,193,Card
589,250,Online
590,435,Cash
591,343,Card
592,777,Card
593,878,Online
594,408,Online
595,188,Online
596,806,Online
597,972,Online
598,278,Card
599,908,Card
600,502,Card
601,253,Card
602,776,Online
603,22,Cash
604,596,Card
605,606,Cash
606,706,Card
607,258,Online
608,784,Card
609,824,Cash
610,177,Online
611,875,Cash
612,926,Online
613,386,Card
614,280,Card
615,430,Online
616,834,Card
617,428,Card
618,758,Cash
619,892,Online
620,146,Online
621,566,Card
622,753,Online
623,928,Card
624,304,Online
625,129,Online
626,220,Card
627,149,Card
628,430,Cash
629,144,Online
630,826,Cash
631,186,Card
632,185,Card
633,587,Cash
634,941,Cash
635,988,Cash
636,2,Cash
637,413,Card
638,987,Online
639,300,Online
640,839,Card
641,173,Cash
642,895,Online
643,795,Cash
644,221,Online
645,654,Online
646,429,Cash
647,279,Card
648,618,Card
649,126,Card
650,119,Card
651,789,Card
652,603,Card
653,551,Cash
654,109,Card
655,925,Online
656,189,Cash
657,776,Online
658,956,Online
659,837,Card
660,832,Cash
661,66,Cash
662,121,Card
663,130,Online
664,41,Cash
665,829,Cash
666,980,Online
667,495,Cash
668,310,Card
669,547,Online
670,77,Online
671,698,Card
672,468,Card
673,318,Cash
674,108,Card
675,578,Cash
676,595,Online
677,282,Online
678,667,Online
679,597,Cash
680,533,Online
681,939,Cash
682,60,Cash
683,299,Cash
684,677,Online
685,924,Online
686,11,Online
687,220,Card
688,654,Cash
689,322,Online
690,257,Online
691,570,Online
692,259,Online
693,671,Card
694,66,Online
695,680,Card
696,917,Card
697,48,Cash
698,240,Card
699,936,Online
700,184,Online
701,881,Cash
702,346,Cash
703,571,Cash
704,547,Card
705,447,Cash
706,386,Online
707,80,Cash
708,637,Cash
709,617,Cash
710,528,Cash
711,521,Online
712,597,Card
713,523,Online
714,628,Cash
715,546,Card
716,969,Card
717,49,Card
