reservation_id,table_id,customer_id,reservation_datetime,status,party_size
1,1,1,28/11/2025,no,6
2,2,2,06/12/2025,yes,4
3,3,3,14/11/2025,yes,3
4,4,4,13/11/2025,yes,1
5,5,5,14/11/2025,yes,5
6,6,6,27/11/2025,yes,2
7,7,7,28/11/2025,yes,1
8,8,8,30/11/2025,yes,2
9,9,9,26/11/2025,no,3
10,10,10,30/11/2025,yes,6
11,11,11,26/11/2025,no,6
12,12,12,08/12/2025,yes,4
13,13,13,05/12/2025,yes,2
14,14,14,02/12/2025,yes,8
15,15,15,11/11/2025,no,2
16,16,16,04/12/2025,yes,1
17,17,17,24/11/2025,yes,4
18,18,18,16/11/2025,yes,4
19,19,19,29/11/2025,no,1
20,20,20,20/11/2025,yes,8
21,21,21,07/12/2025,yes,3
22,22,22,28/11/2025,yes,7
23,23,23,12/11/2025,no,2
24,24,24,15/11/2025,yes,3
25,25,25,13/11/2025,yes,3
26,1,26,04/12/2025,yes,3
27,2,27,24/11/2025,yes,3
28,3,28,25/11/2025,yes,1
29,4,29,12/11/2025,yes,2
30,5,30,24/11/2025,yes,6
31,6,31,10/12/2025,yes,3
32,7,32,04/12/2025,yes,1
33,8,33,06/12/2025,yes,3
34,9,34,12/11/2025,yes,3
35,10,35,03/12/2025,yes,3
36,11,36,05/12/2025,yes,4
37,12,37,01/12/2025,no,3
38,13,38,04/12/2025,yes,1
39,14,39,30/11/2025,yes,3
40,15,40,20/11/2025,yes,1
41,16,41,23/11/2025,yes,1
42,17,42,08/12/2025,yes,3
43,18,43,06/12/2025,yes,7
44,19,44,18/11/2025,no,3
45,20,45,12/11/2025,yes,5
46,21,46,17/11/2025,no,4
47,22,47,15/11/2025,yes,4
48,23,48,15/11/2025,yes,1
49,24,49,11/11/2025,no,6
50,25,50,13/11/2025,yes,7
51,1,51,17/11/2025,yes,2
52,2,52,02/12/2025,yes,4
53,3,53,09/12/2025,yes,3
54,4,54,12/11/2025,no,1
55,5,55,29/11/2025,yes,5
56,6,56,28/11/2025,yes,1
57,7,57,11/11/2025,yes,2
58,8,58,13/11/2025,yes,3
59,9,59,27/11/2025,yes,3
60,10,60,06/12/2025,no,1
61,11,61,09/12/2025,yes,4
62,12,62,20/11/2025,yes,4
63,13,63,26/11/2025,no,4
64,14,64,08/12/2025,yes,5
65,15,65,16/11/2025,yes,3
66,16,66,14/11/2025,no,3
67,17,67,29/11/2025,no,3
68,18,68,06/12/2025,yes,4
69,19,69,26/11/2025,no,1
70,20,70,16/11/2025,yes,5
71,21,71,01/12/2025,no,3
72,22,72,05/12/2025,no,4
73,23,73,21/11/2025,yes,2
74,24,74,25/11/2025,yes,3
75,25,75,30/11/2025,yes,7
76,1,76,29/11/2025,yes,1
77,2,77,10/12/2025,no,2
78,3,78,18/11/2025,yes,2
79,4,79,05/12/2025,yes,2
80,5,80,20/11/2025,no,3
81,6,81,18/11/2025,no,2
82,7,82,13/11/2025,no,1
83,8,83,21/11/2025,no,6
84,9,84,28/11/2025,yes,3
85,10,85,03/12/2025,yes,1
86,11,86,24/11/2025,no,6
87,12,87,14/11/2025,yes,3
88,13,88,28/11/2025,yes,4
89,14,89,13/11/2025,yes,2
90,15,90,25/11/2025,yes,3
91,16,91,25/11/2025,yes,1
92,17,92,01/12/2025,no,1
93,18,93,04/12/2025,yes,1
94,19,94,27/11/2025,no,2
95,20,95,09/12/2025,yes,1
96,21,96,27/11/2025,yes,2
97,22,97,07/12/2025,yes,6
98,23,98,27/11/2025,yes,1
99,24,99,14/11/2025,yes,2
100,25,100,23/11/2025,no,4
101,1,101,03/12/2025,yes,6
102,2,102,08/12/2025,yes,2
103,3,103,04/12/2025,yes,3
104,4,104,20/11/2025,yes,1
105,5,105,26/11/2025,yes,1
106,6,106,05/12/2025,yes,2
107,7,107,30/11/2025,yes,4
108,8,108,06/12/2025,yes,3
109,9,109,11/11/2025,yes,3
110,10,110,02/12/2025,yes,5
111,11,111,23/11/2025,no,6
112,12,112,07/12/2025,yes,2
113,13,113,09/12/2025,yes,4
114,14,114,24/11/2025,yes,7
115,15,115,13/11/2025,no,4
116,16,116,19/11/2025,yes,1
117,17,117,18/11/2025,yes,1
118,18,118,08/12/2025,no,6
119,19,119,14/11/2025,yes,1
120,20,120,29/11/2025,yes,6
121,21,121,07/12/2025,yes,3
122,22,122,04/12/2025,no,4
123,23,123,23/11/2025,yes,2
124,24,124,05/12/2025,no,4
125,25,125,16/11/2025,no,5
126,1,126,28/11/2025,yes,3
127,2,127,10/12/2025,no,2
128,3,128,27/11/2025,yes,3
129,4,129,29/11/2025,no,2
130,5,130,16/11/2025,no,6
131,6,131,14/11/2025,yes,1
132,7,132,16/11/2025,no,3
133,8,133,18/11/2025,yes,5
134,9,134,18/11/2025,yes,1
135,10,135,12/11/2025,yes,2
136,11,136,07/12/2025,yes,4
137,12,137,28/11/2025,yes,2
138,13,138,16/11/2025,no,1
139,14,139,15/11/2025,no,8
140,15,140,07/12/2025,yes,2
141,16,141,18/11/2025,yes,3
142,17,142,28/11/2025,no,4
143,18,143,13/11/2025,yes,1
144,19,144,02/12/2025,yes,1
145,20,145,21/11/2025,no,6
146,21,146,17/11/2025,yes,2
147,22,147,14/11/2025,yes,7
148,23,148,07/12/2025,yes,2
149,24,149,21/11/2025,yes,5
150,25,150,29/11/2025,yes,6
151,1,151,24/11/2025,yes,2
152,2,152,12/11/2025,yes,3
153,3,153,11/11/2025,no,3
154,4,154,02/12/2025,yes,1
155,5,155,28/11/2025,no,1
156,6,156,12/11/2025,yes,2
157,7,157,20/11/2025,yes,4
158,8,158,27/11/2025,no,3
159,9,159,18/11/2025,yes,1
160,10,160,26/11/2025,yes,2
161,11,161,06/12/2025,yes,3
162,12,162,08/12/2025,yes,1
163,13,163,05/12/2025,yes,1
164,14,164,13/11/2025,no,1
165,15,165,16/11/2025,yes,2
166,16,166,21/11/2025,yes,3
167,17,167,25/11/2025,no,3
168,18,168,15/11/2025,no,2
169,19,169,13/11/2025,yes,2
170,20,170,21/11/2025,yes,7
171,21,171,08/12/2025,yes,3
172,22,172,26/11/2025,yes,5
173,23,173,19/11/2025,yes,2
174,24,174,13/11/2025,no,1
175,25,175,25/11/2025,yes,1
176,1,176,11/11/2025,yes,2
177,2,177,17/11/2025,yes,1
178,3,178,09/12/2025,yes,1
179,4,179,10/12/2025,no,2
180,5,180,15/11/2025,yes,5
181,6,181,10/12/2025,yes,3
182,7,182,13/11/2025,no,2
183,8,183,09/12/2025,yes,1
184,9,184,08/12/2025,yes,3
185,10,185,17/11/2025,yes,2
186,11,186,07/12/2025,yes,6
187,12,187,18/11/2025,yes,2
188,13,188,11/11/2025,yes,1
189,14,189,29/11/2025,yes,5
190,15,190,02/12/2025,no,3
191,16,191,27/11/2025,yes,2
192,17,192,04/12/2025,no,2
193,18,193,20/11/2025,yes,7
194,19,194,03/12/2025,no,2
195,20,195,04/12/2025,yes,2
196,21,196,01/12/2025,yes,2
197,22,197,08/12/2025,yes,2
198,23,198,21/11/2025,no,2
199,24,199,25/11/2025,no,8
200,25,200,02/12/2025,no,2
201,1,201,06/12/2025,yes,1
202,2,202,13/11/2025,yes,1
203,3,203,23/11/2025,yes,3
204,4,204,18/11/2025,yes,2
205,5,205,08/12/2025,yes,2
206,6,206,25/11/2025,yes,2
207,7,207,12/11/2025,yes,1
208,8,208,11/11/2025,yes,5
209,9,209,11/11/2025,yes,1
210,10,210,19/11/2025,no,1
211,11,211,08/12/2025,yes,3
212,12,212,02/12/2025,no,1
213,13,213,26/11/2025,yes,1
214,14,214,07/12/2025,yes,7
215,15,215,11/11/2025,yes,2
216,16,216,14/11/2025,no,1
217,17,217,14/11/2025,yes,1
218,18,218,22/11/2025,yes,5
219,19,219,13/11/2025,yes,3
220,20,220,03/12/2025,yes,6
221,21,221,17/11/2025,no,1
222,22,222,15/11/2025,yes,7
223,23,223,15/11/2025,yes,2
224,24,224,30/11/2025,yes,8
225,25,225,13/11/2025,yes,3
226,1,226,04/12/2025,yes,4
227,2,227,09/12/2025,yes,4
228,3,228,22/11/2025,no,3
229,4,229,30/11/2025,yes,2
230,5,230,14/11/2025,no,5
231,6,231,17/11/2025,yes,1
232,7,232,09/12/2025,yes,2
233,8,233,07/12/2025,yes,2
234,9,234,08/12/2025,yes,1
235,10,235,24/11/2025,yes,3
236,11,236,04/12/2025,yes,2
237,12,237,08/12/2025,yes,3
238,13,238,27/11/2025,yes,1
239,14,239,09/12/2025,yes,5
240,15,240,03/12/2025,yes,2
241,16,241,21/11/2025,yes,3
242,17,242,23/11/2025,yes,3
243,18,243,19/11/2025,yes,6
244,19,244,13/11/2025,yes,2
245,20,245,29/11/2025,no,8
246,21,246,19/11/2025,no,4
247,22,247,20/11/2025,yes,7
248,23,248,15/11/2025,no,2
249,24,249,26/11/2025,yes,1
250,25,250,26/11/2025,yes,2
251,1,251,25/11/2025,yes,3
252,2,252,14/11/2025,yes,2
253,3,253,24/11/2025,yes,2
254,4,254,24/11/2025,no,1
255,5,255,12/11/2025,yes,2
256,6,256,26/11/2025,no,1
257,7,257,28/11/2025,yes,1
258,8,258,05/12/2025,yes,3
259,9,259,27/11/2025,yes,1
260,10,260,17/11/2025,yes,2
261,11,261,13/11/2025,yes,3
262,12,262,15/11/2025,yes,2
263,13,263,19/11/2025,yes,4
264,14,264,18/11/2025,yes,2
265,15,265,18/11/2025,no,1
266,16,266,17/11/2025,yes,1
267,17,267,18/11/2025,yes,4
268,18,268,11/11/2025,yes,8
269,19,269,15/11/2025,no,3
270,20,270,20/11/2025,no,7
271,21,271,22/11/2025,yes,1
272,22,272,29/11/2025,yes,1
273,23,273,26/11/2025,yes,2
274,24,274,07/12/2025,yes,8
275,25,275,27/11/2025,yes,7
276,1,276,08/12/2025,yes,6
277,2,277,22/11/2025,yes,4
278,3,278,06/12/2025,yes,2
279,4,279,06/12/2025,no,2
280,5,280,02/12/2025,no,4
281,6,281,26/11/2025,yes,3
