supply_order_id,supplier_id ,order_date,expected_delivery_date,status,total_cost
1,4,11/21/2025,11/25/2025,Canceled,813.86
2,27,12/2/2025,12/9/2025,Delivered,556.36
3,32,12/3/2025,12/8/2025,Delivered,591.43
4,14,11/21/2025,11/25/2025,Delivered,814.89
5,28,12/10/2025,12/16/2025,Canceled,212.45
6,29,12/10/2025,12/12/2025,Canceled,830.94
7,17,11/26/2025,11/30/2025,Canceled,530.92
8,7,12/1/2025,12/4/2025,Canceled,442.44
9,17,11/11/2025,11/18/2025,Delivered,505.47
10,41,12/1/2025,12/3/2025,Delivered,418.29
11,18,11/13/2025,11/20/2025,Delivered,566.13
12,37,12/4/2025,12/11/2025,Delivered,717.33
13,9,11/20/2025,11/27/2025,Delivered,326.99
14,44,11/17/2025,11/19/2025,Delivered,893.36
15,50,12/3/2025,12/5/2025,Delivered,898.77
16,33,11/11/2025,11/17/2025,Canceled,561.03
17,12,12/3/2025,12/5/2025,Delivered,359.17
18,28,11/28/2025,12/4/2025,Canceled,363.79
19,22,11/27/2025,11/30/2025,Delivered,682.88
20,3,11/12/2025,11/15/2025,Delivered,213.95
21,47,11/28/2025,12/2/2025,Delivered,695.69
22,6,12/2/2025,12/7/2025,Delivered,809.17
23,12,11/17/2025,11/24/2025,Delivered,300.65
24,23,12/5/2025,12/6/2025,Delivered,639.37
25,47,12/6/2025,12/8/2025,Delivered,755.86
26,39,12/8/2025,12/14/2025,Delivered,704.62
27,24,12/1/2025,12/5/2025,Delivered,533.95
28,5,11/12/2025,11/17/2025,Delivered,823.45
29,28,12/10/2025,12/12/2025,Delivered,198.49
30,11,11/20/2025,11/21/2025,Delivered,347.65
31,44,11/24/2025,12/1/2025,Delivered,892.57
32,19,12/4/2025,12/9/2025,Canceled,983.97
33,2,11/29/2025,12/2/2025,Delivered,926.73
34,28,12/7/2025,12/14/2025,Delivered,189.25
35,20,12/5/2025,12/11/2025,Delivered,433.8
36,12,12/7/2025,12/9/2025,Delivered,182.54
37,17,11/28/2025,12/1/2025,Delivered,568.44
38,46,11/19/2025,11/26/2025,Delivered,511.62
39,48,11/27/2025,11/30/2025,Delivered,662.51
40,3,11/29/2025,12/1/2025,Delivered,342.89
41,28,11/20/2025,11/22/2025,Canceled,744.61
42,3,12/5/2025,12/10/2025,Delivered,652.54
43,47,12/2/2025,12/6/2025,Delivered,510.33
44,15,11/20/2025,11/24/2025,Delivered,147.71
45,7,11/23/2025,11/27/2025,Delivered,500.47
46,39,11/17/2025,11/24/2025,Delivered,516.23
47,10,11/18/2025,11/21/2025,Delivered,199.23
48,12,12/4/2025,12/10/2025,Delivered,345.06
49,11,11/22/2025,11/24/2025,Delivered,324.82
50,23,11/15/2025,11/16/2025,Canceled,501.74
51,43,11/26/2025,12/2/2025,Delivered,578.83
52,42,12/9/2025,12/11/2025,Delivered,653.99
53,8,11/12/2025,11/14/2025,Delivered,264.79
54,15,12/5/2025,12/12/2025,Delivered,500.7
55,1,12/9/2025,12/11/2025,Delivered,826.16
56,46,12/8/2025,12/9/2025,Canceled,679.74
57,41,11/13/2025,11/16/2025,Delivered,547.37
58,40,12/2/2025,12/6/2025,Canceled,185.11
59,20,12/1/2025,12/5/2025,Delivered,358.99
60,42,11/23/2025,11/28/2025,Delivered,468.05
61,12,11/22/2025,11/29/2025,Delivered,555.56
